date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-10-18,19,44,12,1011000,18
2024-10-19,28,72,22,1887957,28
2024-10-20,17,42,16,1076624,17
2024-10-21,1,2,8,92880,1
2024-10-22,1,2,1,81000,1
2024-10-23,7,17,4,521483,7
2024-10-24,7,12,12,329181,7
2024-10-25,19,56,14,1080004,19
2024-10-26,29,60,24,1578184,29
2024-10-27,11,26,10,764001,11
2024-10-28,4,17,6,498580,4
2024-10-29,3,8,6,235200,3
2024-10-30,3,5,2,133501,2
2024-10-31,9,22,11,749638,8
2024-11-01,14,29,6,893065,13
2024-11-02,33,76,18,2195749,27
2024-11-03,19,72,19,2098615,19
2024-11-04,3,9,3,260100,3
2024-11-05,0,0,0,0,0
2024-11-06,2,4,7,145800,2
2024-11-07,7,14,12,852721,7
2024-11-08,18,35,8,2316850,17
2024-11-09,17,49,15,2826933,17
2024-11-10,20,45,12,2656848,19
2024-11-11,9,23,9,1324821,9
2024-11-12,5,13,5,1093461,5
2024-11-13,11,25,4,1399360,11
2024-11-14,20,44,10,2680271,19
2024-11-15,22,52,12,2935390,22
2024-11-16,19,44,12,2703843,19
2024-11-17,23,53,18,2883026,23
2024-11-18,14,29,13,1589563,14
2024-11-19,4,8,4,738500,4
2024-11-20,6,13,3,773820,6
2024-11-21,11,22,10,1692100,11
2024-11-22,15,31,11,2232876,14
2024-11-23,21,53,13,3286743,21
2024-11-24,17,46,10,3066664,17
2024-11-25,8,14,8,1099990,8
2024-11-26,6,12,7,905860,6
2024-11-27,2,4,2,185001,2
2024-11-28,13,27,5,1736680,12
2024-11-29,14,39,12,2357561,14
2024-11-30,14,36,5,2305342,14
2024-12-01,16,31,13,2056121,15
2024-12-02,4,10,8,752160,4
2024-12-03,3,7,3,656840,3
2024-12-04,2,5,7,296080,2
2024-12-05,2,4,9,366840,2
2024-12-06,7,16,14,1203560,7
2024-12-07,20,49,11,2712930,20
2024-12-08,13,40,11,2228049,12
2024-12-09,3,24,6,1157480,3
2024-12-10,3,6,8,440000,3
2024-12-11,2,4,9,201080,2
2024-12-12,3,9,10,846320,3
2024-12-13,8,16,11,1253741,8
2024-12-14,18,46,11,2963024,18
2024-12-15,9,29,9,1060924,9
2024-12-16,0,0,0,0,0
2024-12-17,1,2,1,188200,1
2024-12-18,1,2,1,85000,1
2024-12-19,1,2,8,186120,1
2024-12-20,1,2,8,112800,1
2024-12-21,8,25,8,1487200,8
2024-12-22,4,9,11,555401,4
2024-12-23,1,4,1,367600,1
2024-12-24,0,0,0,0,0
2024-12-25,0,0,0,0,0
2024-12-26,3,6,10,430160,3
2024-12-27,12,26,4,2095356,12
2024-12-28,19,41,10,2816321,19
2024-12-29,20,54,14,3528554,19
2024-12-30,9,20,8,1467821,9
2024-12-31,15,49,5,2324023,15
2025-01-01,1,2,1,111001,1
2025-01-02,12,27,8,1624224,12
2025-01-03,11,26,3,1807662,11
2025-01-04,5,12,3,954700,5
2025-01-05,2,5,1,466104,2
2025-01-06,4,6,2,628680,3
2025-01-07,0,2,0,103200,0
2025-01-08,1,2,1,90001,1
2025-01-09,0,0,0,0,0
2025-01-10,2,2,1,58600,1
2025-01-11,5,13,3,657901,4
2025-01-12,11,29,5,2384751,11
2025-01-13,1,3,0,297180,1
2025-01-14,1,2,1,157200,1
2025-01-15,0,0,0,0,0
2025-01-16,1,2,1,181600,1
